wiki_ID,char_words,order
26738341,Michael,5.0
15161999,Michael,18.0
21509421,Michael,1.0
95953,Michael,2.0
2476770,Michael,
1983969,Michael,0.0
9049407,Michael,0.0
9656385,Michael,0.0
6487243,Michael,
31357666,Michael,0.0
34333470,Michael,1.0
5447784,Michael,0.0
740744,Michael,8.0
277148,Michael,1.0
1439062,Michael,
885308,Michael,7.0
885308,Michael,12.0
3123893,Michael,11.0
352795,Michael,7.0
8829822,Michael,0.0
13931836,Michael,4.0
15150993,Michael,13.0
932171,Michael,0.0
932171,Michael,10.0
22397441,Michael,
5533243,Michael,3.0
5533243,Michael,6.0
29328011,Michael,1.0
18996,Michael,4.0
14285231,Michael,8.0
22074076,Michael,0.0
18841979,Michael,
26233241,Michael,
5878044,Michael,17.0
24155438,Michael,3.0
24349448,Michael,
61189,Michael,2.0
1815970,Michael,3.0
8860418,Michael,2.0
30172991,Michael,
595909,Michael,1.0
675935,Michael,8.0
675935,Michael,53.0
448735,Michael,6.0
12417065,Michael,0.0
1573108,Michael,
2312141,Michael,
10215404,Michael,
3075802,Michael,
342741,Michael,0.0
342741,Michael,1.0
342741,Michael,22.0
667371,Michael,
26364055,Michael,
31777709,Michael,2.0
73425,Michael,0.0
3705395,Michael,8.0
5420277,Michael,0.0
29377746,Michael,
3133545,Michael,0.0
10474816,Michael,1.0
10474816,Michael,5.0
2560030,Michael,2.0
16484343,Michael,1.0
3332886,Michael,0.0
5220823,Michael,
6177777,Michael,5.0
2017208,Michael,
4292601,Michael,0.0
34812933,Michael,12.0
25517416,Michael,3.0
32944879,Michael,2.0
15930247,Michael,14.0
4939088,Michael,
1278575,Michael,2.0
1612686,Michael,1.0
2786477,Michael,1.0
28874271,Michael,1.0
2466773,Michael,1.0
1037120,Michael,2.0
422269,Michael,2.0
1128661,Michael,5.0
21235843,Michael,
837494,Michael,9.0
8472095,Michael,1.0
896395,Michael,3.0
2694342,Michael,3.0
6098808,Michael,12.0
6098808,Michael,17.0
3186725,Michael,
3520815,Michael,7.0
900231,Michael,
27211939,Michael,2.0
100700,Michael,
1587667,Michael,15.0
2002403,Michael,
11727312,Michael,
3439529,Michael,14.0
10809256,Michael,1.0
62095,Michael,
398934,Michael,4.0
24414870,Michael,
2864621,Michael,0.0
2864621,Michael,51.0
2323824,Michael,1.0
1097304,Michael,0.0
27444757,Michael,1.0
20823557,Michael,17.0
32955671,Michael,0.0
32955671,Michael,7.0
5037308,Michael,4.0
1045457,Michael,9.0
1604902,Michael,1.0
12912926,Michael,2.0
1111237,Michael,0.0
3020947,Michael,0.0
3020947,Michael,1.0
3020947,Michael,12.0
2525385,Michael,3.0
24870348,Michael,18.0
24870348,Michael,21.0
564986,Michael,7.0
3667955,Michael,
8867686,Michael,21.0
20554131,Michael,1.0
5533869,Michael,4.0
33804488,Michael,0.0
945029,Michael,13.0
13947013,Michael,3.0
34147300,Michael,3.0
1589300,Michael,4.0
26107567,Michael,6.0
29341577,Michael,2.0
30296016,Michael,2.0
2243769,Michael,0.0
12790942,Michael,
3742599,Michael,0.0
1412382,Michael,0.0
16486830,Michael,0.0
24062726,Michael,11.0
73875,Michael,0.0
31802616,Michael,11.0
20904572,Michael,
12283093,Michael,2.0
21564646,Michael,7.0
2823903,Michael,0.0
2823903,Michael,18.0
2600572,Michael,1.0
29189034,Michael,
1567210,Michael,6.0
5579651,Michael,
4853679,Michael,4.0
20842848,Michael,3.0
20842848,Michael,7.0
29480522,Michael,3.0
2525087,Michael,1.0
4377259,Michael,4.0
8910297,Michael,4.0
2613497,Michael,0.0
15938122,Michael,3.0
1704458,Michael,6.0
10304105,Michael,12.0
350847,Michael,4.0
545795,Michael,2.0
19509640,Michael,1.0
13484069,Michael,
3600059,Michael,12.0
28167872,Michael,4.0
9663228,Michael,
18850952,Michael,8.0
17634336,Michael,
265033,Michael,0.0
265033,Michael,6.0
1103547,Michael,0.0
20845019,Michael,
24079358,Michael,0.0
4891218,Michael,1.0
2887831,Michael,
3585135,Michael,2.0
1289336,Michael,4.0
4596602,Michael,
16489478,Michael,2.0
2450370,Michael,9.0
13919299,Michael,2.0
62111,Michael,2.0
12632216,Michael,2.0
19036329,Michael,0.0
24159097,Michael,2.0
27202558,Michael,11.0
32867956,Michael,2.0
15349267,Michael,
5031197,Michael,0.0
14760799,Michael,
1977174,Michael,1.0
596639,Michael,1.0
7160018,Michael,7.0
19102074,Michael,0.0
1118809,Michael,0.0
2302751,Michael,2.0
2506848,Michael,6.0
20370386,Michael,0.0
15018795,Michael,4.0
648921,Michael,16.0
42222,Michael,2.0
42222,Michael,28.0
468326,Michael,2.0
8295055,Michael,0.0
31623179,Michael,4.0
17326580,Michael,5.0
26695339,Michael,1.0
26695339,Michael,12.0
146709,Michael,2.0
2288762,Michael,
22351997,Michael,
22533220,Michael,0.0
14689013,Michael,5.0
