wiki_ID,wikidata_ID
21447227,Q518901
21482237,Q7820764
22576659,Q3236099
23593226,Q7701803
23687492,Q17625673
24407838,Q5141012
26149260,Q1268749
26291262,Q7746881
26778773,Q3621948
26967810,Q1130313
26967925,Q1679822
29865278,Q4938866
30710263,Q5447834
31032524,Q3822622
31250513,Q12101705
31934171,Q16249311
32068182,Q7859332
32098888,Q4661651
32151115,Q4802248
35041105,Q4731163
24833392,
418154,Q4087287
780888,Q921033
780889,Q1552174
1886189,Q498277
1918683,Q943906
3759392,Q7727987
4400057,Q7077398
6068626,Q1664376
6846215,Q310734
8167343,Q692367
9002666,Q474072
9497934,Q2995882
9555242,Q1068911
11760680,Q3280348
12073548,Q2394370
12180811,Q4223853
12188026,Q7029965
13194784,Q2498193
13934307,Q759230
14536209,Q3816345
14602109,Q4690917
16252413,Q3221022
18993340,Q7432354
19127891,Q2819799
19614697,Q5114248
19898489,Q947732
20094531,Q7710577
20503264,Q2411101
22680762,Q1995296
23177742,Q5288753
23691047,Q7362433
25984661,Q2934333
26084706,Q3203227
26206182,Q6884632
27744173,Q7748213
27756406,Q12113912
27953778,Q3039255
28666421,Q4657915
29002780,Q7065308
29075168,Q4817942
29381531,Q4911522
31003512,Q7044506
31303771,Q7736769
32206533,Q7733274
32564574,Q7727587
33938681,Q3736205
34037062,Q17071855
35121944,Q4708666
35790655,Q7262204
19931996,
250012,Q503338
1480748,Q12124897
2023704,Q581178
2110246,Q2005934
2723037,Q1196610
3343874,Q151924
3477618,Q7091821
3644784,Q5040873
4403780,Q787765
4966576,Q3536447
5177163,Q3417261
5177364,Q5681567
5566878,Q1149368
5876575,Q1718337
5922485,Q7845564
6768793,Q7650632
6857245,Q3440877
7838865,Q11893320
9057972,Q2061200
9401987,Q7858462
9650057,Q6991636
9855216,Q7907914
11698816,Q4354588
12160774,Q5060040
14416508,Q2248805
19605505,Q7641668
20482272,Q3473164
22644365,Q5288778
22975550,Q5504843
23470411,Q14560098
23700069,Q5546211
23703779,Q16251916
24314823,Q7053629
24708749,Q1150930
25920724,Q8041721
26783712,Q3233701
27171821,Q5658935
28903478,Q5647659
31197003,Q7148500
31990140,Q4657408
32635381,Q2135949
33505627,Q7768121
33643112,Q10929627
33882593,Q7642293
34317816,Q7334448
35282954,Q7775550
35288836,Q7005443
35776919,Q5312184
36353254,Q7760476
6109156,
2267337,
35784403,
6190947,
73395,Q1246289
683122,Q43051
1273525,Q7773083
1388443,Q1424273
1480747,Q737861
2332364,Q971265
2332610,Q3231270
3193452,Q775390
3293243,Q974961
8283324,Q6746495
8400847,Q4671069
8648797,Q7702649
9457642,Q1888524
10535326,Q12124985
10877732,Q3423109
11122446,Q106689913
12136473,Q7827295
12183290,Q7621341
12234915,Q12136255
13164574,Q5361847
13210849,Q448463
14075290,Q7776855
14653703,Q3714142
15349690,Q3870057
17736697,Q7825547
18562918,Q7228598
18950355,Q4899097
22021525,Q4725618
22733195,Q7549702
23865315,Q7916368
24447252,Q5226430
25529715,Q7561020
25711367,Q7208353
25861920,Q10706944
26306593,Q6883468
26614442,Q4920623
28321756,Q4660716
28492745,Q12628080
28789531,Q7577892
29133141,Q5459744
31211176,Q7768368
32621102,Q2830845
33687540,Q17059707
34390034,Q6783849
35407845,Q4738303
37257312,Q5141578
14814288,
5396029,
32547611,
62688,Q848388
468356,Q180403
504242,Q691611
570743,Q1116772
1238065,Q2383324
2374400,Q2235558
2616952,Q1940541
3645284,Q2162104
4734763,Q5067859
5889382,Q7734281
6906953,Q2533012
7012138,Q4808378
7351283,Q3430677
7744004,Q6478086
8219325,Q570652
8411320,Q4766767
8859517,Q12126037
8947600,Q7318565
9915817,
11580269,Q5597646
12347651,Q12127425
12428218,Q4423286
12695008,Q2032336
13666004,Q2819948
13977536,Q3201650
14790860,Q7409058
15115743,Q7256176
19204182,Q2819753
19389678,Q5469726
19844591,Q80249
23499382,Q3007929
23688045,Q7334488
24576469,Q7820222
24739648,Q4189177
25242231,Q5352369
26261634,Q4309114
26723356,Q7700677
27729972,Q7749939
28373900,Q6941854
29641798,Q8057049
31187940,Q7163162
31519851,Q5183151
31535046,Q6898757
31646061,Q497748
33275973,Q7913910
34853942,Q949449
35211787,Q6960928
9858029,
5820314,
19687519,
129295,Q504157
163491,Q1634805
256337,Q229603
933349,Q2412584
1247022,Q4468109
1671520,
1924191,Q1757592
2780906,Q5417927
2894499,Q2390868
4026639,Q4697372
4461403,Q5749159
5378148,Q10998279
5520992,
5538421,Q3790674
6701473,Q7600581
8987889,Q821753
10920719,Q7813059
11625324,Q1514240
11699443,Q4548658
11796087,Q1080924
12689649,Q7773523
13289421,Q4471
13870077,Q3826577
15749812,Q62513
16796262,Q7750029
16835577,
17916020,Q4388331
19236804,Q1113719
21008123,Q5349737
21604407,Q4685995
22697988,Q3208895
23283544,Q5595879
23293894,Q5399178
24451372,Q7764416
24582482,Q769286
25008319,Q1775999
26022150,Q7825330
26364055,Q5602521
29481438,Q5102228
30011441,Q6929129
30167040,Q1823699
32070510,Q5710139
32826409,Q7763549
33100959,Q5247133
34100268,Q6075531
34584668,Q7304389
34961787,Q7363062
5853629,
24815671,
20562478,
175079,Q1214986
1597720,Q5282903
3511253,Q610435
3635024,Q6009593
5257643,Q600557
5361730,Q4822037
6581470,Q4972431
6767900,Q6961951
7334748,Q3423494
7335167,Q7135389
7792664,Q2344050
7955522,Q3283441
8353789,Q962027
8721073,
9088886,Q202982
9998246,Q6463000
10010910,Q7535305
10344059,Q7134319
12169608,Q1754158
13849639,Q1124135
14811318,Q4728881
15749794,Q744476
17058062,Q1342267
17058733,Q5418076
17939111,Q4694846
18164108,Q599188
18170706,Q926304
20223240,Q5755564
20377205,Q5692496
20395564,Q12125781
20518783,Q7023699
20712613,Q1192601
21132938,Q13582546
21987574,Q1080841
23687966,Q3549493
24061285,Q4944528
24068072,Q8031301
24069458,Q5967043
24631652,Q4999812
