name,status,group_year,movie_id
merrick,i,1992,4231
merrick,i,1975,1254263
merrick,i,2009,23292052
amilyn,i,1992,4231
edward,t,1960,3992363
edward,t,1960,2181949
edward,t,1978,30863819
edward,t,1978,10332120
edward,t,1978,17475150
edward,t,2006,14277334
edward,t,2006,20672258
edward,t,2006,739286
edward,t,1998,4560
edward,t,1998,142465
edward,t,1998,308430
edward,b,1923,2509613
edward,b,1923,30003165
edward,b,1923,15328420
edward,b,1929,33179953
edward,b,1970,1069944
edward,b,1970,952354
edward,b,1970,11600033
edward,i,2010,30868944
edward,i,1990,156745
edward,i,2011,32840793
edward,i,1944,2648856
edward,i,1987,168593
campbell,t,2000,277667
campbell,t,2000,397574
campbell,t,2000,532618
campbell,b,2007,10433895
campbell,b,2007,10215404
campbell,b,2007,15739815
campbell,i,1995,2180118
campbell,i,2003,714334
campbell,i,1992,3703551
campbell,i,1969,6268880
campbell,i,1993,149113
william,t,1962,74387
william,t,1962,3992363
william,t,1962,6982919
william,t,1936,17711304
william,t,1936,14689013
william,t,1936,8178460
william,t,1979,817057
william,t,1979,920296
william,t,1979,962431
william,t,1995,206818
william,t,1995,4560
william,t,1995,52389
william,b,1929,26930909
william,b,1929,18780551
william,b,1929,22895245
william,b,1944,3591767
william,b,1944,77685
william,b,1944,3676154
william,b,1970,45481
william,b,1970,1069944
william,b,1970,5794164
william,b,1953,1022698
william,b,1953,4150566
william,b,1953,21235994
william,i,2007,19054381
william,i,2003,5787216
william,i,2008,35758952
william,i,2002,430788
william,i,1992,67417
king,t,2011,25080984
king,t,2011,16839300
king,t,2011,36019569
king,t,2005,2465797
king,t,2005,525314
king,t,2005,903383
king,i,1995,171047
king,i,1974,14222062
king,i,1989,5628441
king,i,1984,4702014
king,i,1996,31091116
princess,t,1977,106344
princess,t,1977,3978441
princess,t,1977,1328188
princess,b,1987,301574
princess,b,1987,75222
princess,b,1987,1024501
princess,b,1964,2609169
princess,b,1964,4463477
princess,b,1964,787058
princess,i,1995,17747518
princess,i,2001,6408318
princess,i,2010,20653949
princess,i,2004,7101944
princess,i,2012,31057369
robert,t,1960,8581231
robert,t,1960,7543423
robert,t,1960,19476185
robert,t,1912,15752401
robert,t,1912,7218799
robert,t,1978,186856
robert,t,1978,75261
robert,t,1978,164376
robert,t,2001,1009041
robert,t,2001,225615
robert,t,2001,1141438
robert,t,2009,2809621
robert,t,2009,6641931
robert,t,2009,2654186
robert,b,1969,508044
robert,b,1969,6090957
robert,b,1969,5813769
robert,b,1938,2618462
robert,b,1938,61480
robert,b,1938,5819703
robert,b,1924,73930
robert,b,1924,24162182
robert,b,1924,34149562
robert,b,1988,509676
robert,b,1988,1839695
robert,b,1988,380123
robert,i,1995,9513537
robert,i,1997,12278961
robert,i,1993,3985182
robert,i,1994,33780921
robert,i,1992,15420502
hamish,i,1995,4560
hamish,i,2003,3701117
hamish,i,2011,31839719
hamish,i,2012,35003456
wallace,t,2012,17574075
wallace,t,2012,27216746
wallace,t,2012,31700529
wallace,i,1994,54173
wallace,i,1995,740824
wallace,i,1978,20179415
wallace,i,1999,947450
wallace,i,1998,26619038
bruce,t,1945,3624149
bruce,t,1973,64291
bruce,t,1973,11958947
bruce,t,1973,3078054
bruce,t,1930,33434044
bruce,t,1930,24224913
bruce,t,2010,29075630
bruce,t,2010,22114132
bruce,t,2010,5476946
bruce,t,1995,52371
bruce,t,1995,4560
bruce,t,1995,647756
bruce,b,1952,21760793
bruce,i,2005,473086
bruce,i,2001,101523
bruce,i,2002,563861
bruce,i,1940,74018
bruce,i,1999,1562557
isabelle,t,1995,4560
isabelle,t,1995,600194
isabelle,t,1995,3375262
isabelle,t,1988,8996916
isabelle,b,2007,24630747
isabelle,b,2007,14882944
isabelle,b,2007,451817
isabelle,i,2011,33669461
isabelle,i,2012,20476331
isabelle,i,2003,20857007
isabelle,i,2002,1268226
isabelle,i,2013,36565748
knox,t,2008,7845053
knox,t,2008,26072991
knox,t,2008,30741010
knox,t,2002,342692
knox,t,2002,1035959
knox,t,2002,499810
knox,t,1994,21180
knox,t,1994,2632500
knox,i,1989,4726
knox,i,1999,2727959
knox,i,2001,1704458
knox,i,1960,21069604
knox,i,1976,25012425
james,t,1962,6322029
james,t,1962,6446053
james,t,1962,6446071
james,t,2001,28269
james,t,2001,321496
james,t,2001,197558
james,t,2012,22144990
james,t,2012,12252836
james,t,2012,3071743
james,b,1945,9231651
james,b,1945,8133963
james,b,1945,19047475
james,b,1970,5078515
james,b,1970,6446061
james,b,1970,157481
james,i,2008,20264357
james,i,2005,13027958
james,i,1990,16366907
james,i,2006,4470232
james,i,2007,12330542
dent,i,1989,4726
dent,i,1962,6446053
dent,i,1979,5889382
alexander,t,1984,2168783
alexander,t,1984,1062223
alexander,t,1984,5337946
alexander,t,1967,19922045
